Unique Identifier,Connector Name
actions,Actions
active_campaigns,Active Campaigns
adaptive_insights,Adaptive Insights
adaptv,AdapTV
adjust,Adjust
adobe_ads,Adobe Ads
adobe_analytics,Adobe Analytics
adobe_analytics_data_feed,Adobe Analytics Data Feed
adp_workforce_now,ADP Workforce Now
adquant,Adquant
adroll,AdRoll
airtable,Airtable
amazon_marketplace_web_service,Amazon Marketplace Web Service
amazon_rds_for_oracle,Amazon RDS for Oracle
amazon_rds_for_sql_server,Amazon RDS for SQL Server
amazon_redshift,Amazon Redshift
amazon_s3,Amazon S3
amazon_s3_compatible_storage,Amazon S3 Compatible Storage
amazon_seller_partner,Amazon Seller Partner
amplitude,Amplitude
anaplan,Anaplan
apache_impala,Apache Impala
apache_kafka,Apache Kafka
apify_dataset,Apify Dataset
app_store_connect_-_apps_analytics,App Store Connect - Apps Analytics
app_store_connect_-_sales,App Store Connect - Sales
apple_app_store,Apple App Store
apple_search_ads,Apple Search Ads
apple_searchads,Apple SearchAds
appnexus,AppNexus
appreciate,Appreciate
appsee,appsee
appsflyer,AppsFlyer
appstore,Appstore
asana,Asana
aurora_mysql,Aurora MySQL
aurora_postgres,Aurora Postgres
avantlink,Avantlink
aws_cloudtrail,AWS CloudTrail
aws_inventory,AWS Inventory
aws_lambda,AWS Lambda
aws_msk,AWS MSK
aws_redshift_(source),AWS Redshift (Source)
azure_blob_storage,Azure Blob Storage
azure_cosmos_db_(sql_api),Azure Cosmos DB (SQL API)
azure_cosmos_db's_api_for_mongodb,Azure Cosmos DB's API for MongoDB
azure_data_explorer,Azure Data Explorer
azure_data_lake_storage_gen1,Azure Data Lake Storage Gen1
azure_data_lake_storage_gen2,Azure Data Lake Storage Gen2
azure_database_for_mariadb,Azure Database for MariaDB
azure_database_for_mysql,Azure Database for MySQL
azure_database_for_postgresql,Azure Database for PostgreSQL
azure_databricks_delta_lake,Azure Databricks Delta Lake
azure_event_hubs,Azure Event Hubs
azure_files,Azure Files
azure_function,Azure Function
azure_mariadb,Azure MariaDB
azure_mysql,Azure MySQL
azure_postgresql_database,Azure PostgreSQL Database
azure_sql_database,Azure SQL Database
azure_sql_managed_instance,Azure SQL Managed Instance
azure_synapse_analytics,Azure Synapse Analytics
azure_table_storage,Azure Table Storage
bamboohr,BambooHR
bigcommerce,BigCommerce
bigquery,BigQuery
binary_log,Binary Log
bing_ads,Bing Ads
bluesnap,BlueSnap
box,Box
braintree,Braintree
braintree_sandbox,Braintree Sandbox
branch,Branch
brandwatch,Brandwatch
braze,Braze
bronto,Bronto
callrail,CallRail
cart,Cart
cassandra,Cassandra
cedato,Cedato
chargebee,Chargebee
chargify,Chargify
clickhouse,ClickHouse
closecom,Closecom
cloudfront,Cloudfront
cockroachdb,CockroachDB
concur,Concur
confluent_cloud,Confluent Cloud
consumer_dropbox,Consumer Dropbox
convert_media,Convert Media
couchbase,Couchbase
coupa,Coupa
crimson_hexagon,Crimson Hexagon
criteo,Criteo
criteo_version_2021,Criteo version 2021
customer_gauge,Customer Gauge
datastore,Datastore
dataverse,Dataverse
db2,DB2
db2_for_luw,Db2 for LUW
dear_systems,Dear Systems
delighted,Delighted
delta_projects,Delta Projects
display_&_video_360,Display & Video 360
dixa,Dixa
docebo,Docebo
doubleclick_campaign_manager,DoubleClick Campaign Manager
drift,Drift
drill,Drill
dropbox,Dropbox
drupal,Drupal
dynamics_365,Dynamics 365
dynamics_365_finance_and_operations,Dynamics 365 Finance and Operations
dynamics_ax,Dynamics AX
dynamics_crm,Dynamics CRM
dynamodb,DynamoDB
eloqua,Eloqua
email,Email
exchange_rates_api,Exchange Rates API
facebook_ad_account,Facebook Ad Account
facebook_ad_insights,Facebook Ad Insights
facebook_ads,Facebook Ads
facebook_audience_network,Facebook Audience Network
facebook_marketing,Facebook Marketing
facebook_pages,Facebook Pages
facebook_social,Facebook Social
file_system,File System
files,Files
financialforce,FinancialForce
fivetran_log,Fivetran Log
freshdesk,Freshdesk
front,Front
ftp,FTP
generic_http,Generic HTTP
generic_odata,Generic OData
generic_odbc,Generic ODBC
generic_rest,Generic REST
github,GitHub
gitlab,GitLab
gmail,Gmail
gmp365,GMP365
google_ad_manager,Google Ad Manager
google_ads,Google Ads
google_ads_-_looker_prebuilt_reports,Google Ads - Looker Prebuilt Reports
google_ads_account,Google Ads Account
google_adwords,Google AdWords
google_analytics,Google Analytics
google_analytics_(mcf),Google Analytics (MCF)
google_analytics_360,Google Analytics 360
google_analytics_v4,Google Analytics v4
google_bigquery,Google BigQuery
google_campaign_manager_360,Google Campaign Manager 360
google_cloud_function,Google Cloud Function
google_cloud_mysql,Google Cloud MySQL
google_cloud_postgresql,Google Cloud PostgreSQL
google_cloud_sql_-_sql_server,Google Cloud SQL - SQL Server
google_cloud_storage,Google Cloud Storage
google_directory,Google Directory
google_display_&_video_360,Google Display & Video 360
google_drive,Google Drive
google_play,Google Play
google_play_store,Google Play Store
google_search_console,Google Search Console
google_sheets,Google Sheets
google_workspace_admin_reports,Google Workspace Admin Reports
gothamads,GothamAds
greenhouse,Greenhouse
greenplum,Greenplum
harvest,Harvest
hasoffers,HasOffers
hbase,HBase
hdfs,HDFS
heap,Heap
height,Height
help_scout,Help Scout
helpscout,HelpScout
heroku_kafka,Heroku Kafka
heroku_postgres,Heroku Postgres
hive,Hive
hivestack,Hivestack
hubspot,HubSpot
impact_radius,Impact Radius
index_exchange_client_audit_logs,Index Exchange Client Audit Logs
informix,Informix
innovid,Innovid
insight_squared,Insight Squared
instagram,Instagram
instagram_business,Instagram Business
instagram_social,Instagram Social
intercom,Intercom
ironsource,IronSource
iterable,Iterable
jira,Jira
jwplayer_analytics,JWPlayer Analytics
jwplayer_management,JWPlayer Management
keepcon,keepcon
kinesis,Kinesis
klaviyo,Klaviyo
kochava,Kochava
kustomer,Kustomer
lever,Lever
lever_hiring,Lever Hiring
lightspeed_retail,Lightspeed Retail
linkedin_ad_analytics,LinkedIn Ad Analytics
linkedin_ads,LinkedIn Ads
linkedin_company_pages,LinkedIn Company Pages
linkedin_social,LinkedIn Social
liverail,Liverail
lkqd,LKQD
logic,Logic
looker,Looker
looker_-_bing_ads,Looker - Bing Ads
looker_-_facebook_ad_insights,Looker - Facebook Ad Insights
looker_-_linkedin_ad_analytics,Looker - LinkedIn Ad Analytics
magento,Magento
magento_mysql,Magento MySQL
